Date,Close/Last,Volume,Open,High,Low
03/18/2020,$10.6857,18133470,$10.6838,$11.3313,$10.1572
03/17/2020,$10.7657,8512275,$10.4166,$10.7988,$10.2683
03/16/2020,$10.0792,7294455,$10.1416,$10.5043,$9.9348
03/13/2020,$10.9841,10061745,$10.99,$11.0524,$10.3932
03/12/2020,$10.2527,10362530,$10.635,$10.8174,$10.0441
03/11/2020,$11.2708,6748770,$11.497,$11.5741,$11.2025
03/10/2020,$11.7662,15588625,$11.9144,$11.9261,$11.5185
03/09/2020,$11.4151,6875550,$11.3488,$11.7935,$11.3118
03/06/2020,$12.3103,5828465,$12.2479,$12.3337,$12.1231
03/05/2020,$12.3727,6299765,$12.4527,$12.48,$12.2712
03/04/2020,$12.636,6119440,$12.439,$12.6672,$12.3981
03/03/2020,$12.322,8572755,$12.4371,$12.5814,$12.2011
03/02/2020,$12.5131,10589745,$12.4039,$12.5326,$12.1523
02/28/2020,$12.1309,13616295,$11.6023,$12.1816,$11.575
02/27/2020,$11.8754,10029755,$12.0733,$12.2323,$11.8734
02/26/2020,$12.4702,7767215,$12.5521,$12.6438,$12.4397
02/25/2020,$12.40,11132050,$12.7257,$12.7745,$12.3123
02/24/2020,$12.4683,7070930,$12.4819,$12.5951,$12.3872
02/21/2020,$12.8603,4535245,$13.0573,$13.067,$12.8232
02/20/2020,$13.0163,6630565,$13.0495,$13.1002,$12.8769
02/19/2020,$13.0807,6174360,$13.0592,$13.1392,$13.0417
02/18/2020,$12.9968,11737440,$12.9539,$13.0846,$12.8915
02/14/2020,$13.4239,7425880,$13.5507,$13.5611,$13.3518
02/13/2020,$13.5741,4551820,$13.6365,$13.6365,$13.5565
02/12/2020,$13.8023,2939405,$13.7106,$13.8062,$13.7106
02/11/2020,$13.7145,4260150,$13.775,$13.8179,$13.6892
02/10/2020,$13.6853,4646620,$13.6775,$13.6931,$13.58
02/07/2020,$13.6697,7312000,$13.8471,$13.896,$13.5956
02/06/2020,$13.9544,3313345,$13.8413,$13.9544,$13.8413
02/05/2020,$13.7516,8997225,$13.7808,$13.8588,$13.7204
02/04/2020,$14.2372,7893655,$14.0753,$14.4049,$13.8783
02/03/2020,$13.7457,9074160,$13.7087,$13.8276,$13.7009
01/31/2020,$13.6872,4787290,$13.8452,$13.8452,$13.6346
01/30/2020,$13.8744,4354735,$13.775,$13.9076,$13.6931
01/29/2020,$14.0032,3072465,$14.0227,$14.0461,$13.9739
01/28/2020,$14.0461,4063095,$13.9837,$14.0831,$13.9154
01/27/2020,$13.9076,6336745,$13.933,$13.9837,$13.8764
01/24/2020,$14.0188,3391795,$14.167,$14.1748,$13.9408
01/23/2020,$14.1572,2898515,$14.1884,$14.1884,$14.0461
01/22/2020,$14.1163,3804360,$14.1533,$14.1748,$14.0753
01/21/2020,$14.0675,4835750,$14.1397,$14.1406,$14.0636
01/17/2020,$14.1358,3902625,$14.1826,$14.1826,$14.0734
